mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_features,param_max_depth,param_criterion,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.20124399662017822,0.006284152908447267,0.03903670310974121,0.004557029253044605,100,7,6,0.005,0.4,10,gini,0.001,"{'n_estimators': 100, 'min_samples_split': 7, 'min_samples_leaf': 6, 'min_impurity_decrease': 0.005, 'max_features': 0.4, 'max_depth': 10, 'criterion': 'gini', 'ccp_alpha': 0.001}",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.55,0.35,22
1.317500352859497,0.12733471554005787,0.1652379274368286,0.013070465149359318,600,8,1,0.0,0.6,,entropy,0.02,"{'n_estimators': 600, 'min_samples_split': 8, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0, 'max_features': 0.6, 'max_depth': None, 'criterion': 'entropy', 'ccp_alpha': 0.02}",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.55,0.35,22
0.5912826776504516,0.027210660686611255,0.09332342147827148,0.003352348833020649,300,3,12,0.01,0.5,5,gini,0.05,"{'n_estimators': 300, 'min_samples_split': 3, 'min_samples_leaf': 12, 'min_impurity_decrease': 0.01, 'max_features': 0.5, 'max_depth': 5, 'criterion': 'gini', 'ccp_alpha': 0.05}",0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.15,0.32015621187164245,467
1.424685788154602,0.06656480493885221,0.17673909664154053,0.015716763127687914,700,12,10,0.001,log2,30,gini,0.05,"{'n_estimators': 700, 'min_samples_split': 12, 'min_samples_leaf': 10, 'min_impurity_decrease': 0.001, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'gini', 'ccp_alpha': 0.05}",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.55,0.35,22
0.7665459632873535,0.024203327301273114,0.09799871444702149,0.0014329097123496404,400,8,5,0.05,,15,gini,0.02,"{'n_estimators': 400, 'min_samples_split': 8, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.05, 'max_features': None, 'max_depth': 15, 'criterion': 'gini', 'ccp_alpha': 0.02}",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.45,0.35000000000000003,323
1.135336446762085,0.08727893990590715,0.1462233066558838,0.007581460136641907,600,15,12,0.005,0.1,30,entropy,0.005,"{'n_estimators': 600, 'min_samples_split': 15, 'min_samples_leaf': 12, 'min_impurity_decrease': 0.005, 'max_features': 0.1, 'max_depth': 30, 'criterion': 'entropy', 'ccp_alpha': 0.005}",0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.20000000000000004,476
1.3145326614379882,0.055121945629168,0.1720126152038574,0.004470832840161086,700,15,5,0.01,,10,gini,0.0,"{'n_estimators': 700, 'min_samples_split': 15, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.01, 'max_features': None, 'max_depth': 10, 'criterion': 'gini', 'ccp_alpha': 0.0}",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.45,0.35000000000000003,323
1.2774131298065186,0.21719358592295787,0.16128873825073242,0.02409448240459034,600,4,9,0.02,0.1,5,entropy,0.02,"{'n_estimators': 600, 'min_samples_split': 4, 'min_samples_leaf': 9, 'min_impurity_decrease': 0.02, 'max_features': 0.1, 'max_depth': 5, 'criterion': 'entropy', 'ccp_alpha': 0.02}",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.55,0.35,22
0.6984439611434936,0.11280103637332795,0.08409855365753174,0.011538079921423592,300,8,12,0.005,,20,entropy,0.001,"{'n_estimators': 300, 'min_samples_split': 8, 'min_samples_leaf': 12, 'min_impurity_decrease': 0.005, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy', 'ccp_alpha': 0.001}",0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.15,0.32015621187164245,467
0.2057245969772339,0.010122742334135052,0.040497350692749026,0.004045481312839334,100,12,2,0.01,0.2,20,gini,0.2,"{'n_estimators': 100, 'min_samples_split': 12, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.01, 'max_features': 0.2, 'max_depth': 20, 'criterion': 'gini', 'ccp_alpha': 0.2}",0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.0,0.0,0.55,0.35,22
