mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.43976221084594724,0.06767322242510518,0.07148559093475342,0.015330077515087553,0.02873159319598546,entropy,34,log2,0.0004089387339565471,9,15,111,"OrderedDict({'ccp_alpha': 0.02873159319598546, 'criterion': 'entropy', 'max_depth': 34, 'max_features': 'log2', 'min_impurity_decrease': 0.0004089387339565471, 'min_samples_leaf': 9, 'min_samples_split': 15, 'n_estimators': 111})",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.55,0.35,137
1.061535406112671,0.1327851382746995,0.14048492908477783,0.020567777918025144,0.12983592616233156,gini,19,0.1,0.00013896373709470835,2,7,305,"OrderedDict({'ccp_alpha': 0.12983592616233156, 'criterion': 'gini', 'max_depth': 19, 'max_features': 0.1, 'min_impurity_decrease': 0.00013896373709470835, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 305})",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.55,0.35,137
0.9264600038528442,0.11437130489635242,0.16322681903839112,0.07729618289913402,0.10964840506143805,gini,13,0.1,0.003115511574648758,7,13,262,"OrderedDict({'ccp_alpha': 0.10964840506143805, 'criterion': 'gini', 'max_depth': 13, 'max_features': 0.1, 'min_impurity_decrease': 0.003115511574648758, 'min_samples_leaf': 7, 'min_samples_split': 13, 'n_estimators': 262})",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.55,0.35,137
1.0115545988082886,0.12339425659633567,0.12702348232269287,0.015600407650751843,0.24607868006363454,gini,37,log2,0.0024641224425350004,7,11,303,"OrderedDict({'ccp_alpha': 0.24607868006363454, 'criterion': 'gini', 'max_depth': 37, 'max_features': 'log2', 'min_impurity_decrease': 0.0024641224425350004, 'min_samples_leaf': 7, 'min_samples_split': 11, 'n_estimators': 303})",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.55,0.35,137
0.8539494514465332,0.10857895829305832,0.11831059455871581,0.017062249371040766,0.017070311606512827,entropy,21,0.1,0.0028330665849234738,5,13,248,"OrderedDict({'ccp_alpha': 0.017070311606512827, 'criterion': 'entropy', 'max_depth': 21, 'max_features': 0.1, 'min_impurity_decrease': 0.0028330665849234738, 'min_samples_leaf': 5, 'min_samples_split': 13, 'n_estimators': 248})",0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.65,0.32015621187164245,94
2.521615481376648,0.3737118915047683,0.3208454132080078,0.036566613923483426,0.2921495767447565,entropy,32,sqrt,0.000147766018552612,9,15,687,"OrderedDict({'ccp_alpha': 0.2921495767447565, 'criterion': 'entropy', 'max_depth': 32, 'max_features': 'sqrt', 'min_impurity_decrease': 0.000147766018552612, 'min_samples_leaf': 9, 'min_samples_split': 15, 'n_estimators': 687})",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.55,0.35,137
2.5317545413970945,0.3525967306475775,0.294940447807312,0.03706270374063359,0.003118402099503153,entropy,11,log2,0.004444347227295028,10,7,771,"OrderedDict({'ccp_alpha': 0.003118402099503153, 'criterion': 'entropy', 'max_depth': 11, 'max_features': 'log2', 'min_impurity_decrease': 0.004444347227295028, 'min_samples_leaf': 10, 'min_samples_split': 7, 'n_estimators': 771})",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.55,0.35,137
2.404735565185547,0.3128265429116252,0.28525829315185547,0.044053118348585475,0.06392687817594624,gini,26,0.1,0.004966504428034255,1,15,741,"OrderedDict({'ccp_alpha': 0.06392687817594624, 'criterion': 'gini', 'max_depth': 26, 'max_features': 0.1, 'min_impurity_decrease': 0.004966504428034255, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 741})",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.55,0.35,137
4.286856317520142,0.30081076595833517,0.5197505235671998,0.11242152594105448,0.3,gini,21,sqrt,0.0,1,5,800,"OrderedDict({'ccp_alpha': 0.3, 'criterion': 'gini', 'max_depth': 21, 'max_features': 'sqrt', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800})",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.55,0.35,137
1.8888459205627441,0.2601620937040925,0.3250711917877197,0.1776172351361873,0.00630555905073755,entropy,10,sqrt,8.742615116627829e-05,1,6,267,"OrderedDict({'ccp_alpha': 0.00630555905073755, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_impurity_decrease': 8.742615116627829e-05, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 267})",0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.75,0.25,1
0.839631199836731,0.025827473574985042,0.13505215644836427,0.02818224824058605,0.2814407490760465,gini,10,0.1,0.004088688489278588,7,9,206,"OrderedDict({'ccp_alpha': 0.2814407490760465, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.1, 'min_impurity_decrease': 0.004088688489278588, 'min_samples_leaf': 7, 'min_samples_split': 9, 'n_estimators': 206})",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.55,0.35,137
1.9316503763198853,0.2954292324915075,0.22689332962036132,0.04101260345115111,0.12195356849508744,entropy,10,0.1,0.003247202475018945,5,10,433,"OrderedDict({'ccp_alpha': 0.12195356849508744, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 0.1, 'min_impurity_decrease': 0.003247202475018945, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 433})",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.55,0.35,137
2.783707284927368,0.2948598141849973,0.30962135791778567,0.04611440215047155,0.3,entropy,10,sqrt,0.005,10,15,800,"OrderedDict({'ccp_alpha': 0.3, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'min_impurity_decrease': 0.005, 'min_samples_leaf': 10, 'min_samples_split': 15, 'n_estimators': 800})",0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.55,0.35,137
