mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_min_impurity_decrease,param_max_features,param_max_depth,param_criterion,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0913641929626465,0.012454025572678171,0.14814114570617676,0.006261585235631725,500,5,10,0.03,0.5,5,entropy,0.0,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 10, 'min_impurity_decrease': 0.03, 'max_features': 0.5, 'max_depth': 5, 'criterion': 'entropy', 'ccp_alpha': 0.0}",0.9767441860465116,0.9545454545454546,0.9523809523809523,0.959349593495935,0.953125,0.9592290372937707,0.009087204798459859,46
1.2843099594116212,0.045440912838669384,0.15298013687133788,0.01712679665224886,500,5,20,0.05,,,entropy,0.05,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.05, 'max_features': None, 'max_depth': None, 'criterion': 'entropy', 'ccp_alpha': 0.05}",0.96,0.9545454545454546,0.928,0.9421487603305785,0.9365079365079365,0.9442404302767938,0.01168311329794418,131
0.12820096015930177,0.0048309151861862226,0.033246421813964845,0.0020810295148182474,50,2,2,0.03,0.5,10,gini,0.01,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.03, 'max_features': 0.5, 'max_depth': 10, 'criterion': 'gini', 'ccp_alpha': 0.01}",0.9516129032258065,0.9692307692307692,0.926829268292683,0.9344262295081968,0.944,0.9452198340514911,0.014653321430517554,127
0.2560678005218506,0.048490393713356394,0.046636343002319336,0.0037276573153308705,100,5,20,0.05,log2,3,entropy,0.01,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.05, 'max_features': 'log2', 'max_depth': 3, 'criterion': 'entropy', 'ccp_alpha': 0.01}",0.9682539682539683,0.9457364341085271,0.9516129032258065,0.9523809523809523,0.944,0.9523968515938508,0.008566577547297,88
0.22792248725891112,0.0031143283096237025,0.04451003074645996,0.0007685190943292572,100,2,20,0.01,sqrt,10,entropy,0.02,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.01, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'ccp_alpha': 0.02}",0.976,0.9538461538461539,0.9516129032258065,0.9421487603305785,0.944,0.9535215634805077,0.012075009514154175,85
0.12425436973571777,0.0032615638322989193,0.03291430473327637,0.0012487170255838225,50,2,5,0.01,sqrt,20,entropy,0.0,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.01, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'ccp_alpha': 0.0}",0.96875,0.9618320610687023,0.9682539682539683,0.959349593495935,0.9523809523809523,0.9621133150399116,0.006069420938594295,34
0.13468284606933595,0.0075005990706995965,0.03195056915283203,0.0011883064464897558,50,2,10,0.0,0.5,3,entropy,0.02,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 10, 'min_impurity_decrease': 0.0, 'max_features': 0.5, 'max_depth': 3, 'criterion': 'entropy', 'ccp_alpha': 0.02}",0.96875,0.9538461538461539,0.944,0.959349593495935,0.9448818897637795,0.9541655274211737,0.00926506618276276,82
0.4247146129608154,0.0061729390005161155,0.07403273582458496,0.005736001136428176,200,2,10,0.03,sqrt,20,gini,0.02,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 10, 'min_impurity_decrease': 0.03, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'ccp_alpha': 0.02}",0.959349593495935,0.9312977099236641,0.9344262295081968,0.9508196721311475,0.944,0.9439786410117886,0.010345249364302582,137
0.47551889419555665,0.038377388223070574,0.0768509864807129,0.00549495851203125,200,5,10,0.03,log2,,gini,0.01,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 10, 'min_impurity_decrease': 0.03, 'max_features': 'log2', 'max_depth': None, 'criterion': 'gini', 'ccp_alpha': 0.01}",0.959349593495935,0.9384615384615385,0.9344262295081968,0.959349593495935,0.944,0.947117390992321,0.010439933387034774,118
1.1097351551055907,0.0373941307190606,0.14576191902160646,0.005777713194745789,500,10,20,0.05,0.5,20,gini,0.01,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.05, 'max_features': 0.5, 'max_depth': 20, 'criterion': 'gini', 'ccp_alpha': 0.01}",0.943089430894309,0.9465648854961832,0.9193548387096774,0.9421487603305785,0.9365079365079365,0.937533170387737,0.009646247210634023,181
1.0162092208862306,0.025925065835823262,0.149169921875,0.014060425581914029,500,10,2,0.01,log2,20,gini,0.0,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.01, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'ccp_alpha': 0.0}",0.9841269841269841,0.9312977099236641,0.9682539682539683,0.967741935483871,0.9523809523809523,0.960760310033888,0.01782783164351161,41
0.2790694713592529,0.04785354845129375,0.04956321716308594,0.009128668606626481,100,10,20,0.05,,3,gini,0.0,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.05, 'max_features': None, 'max_depth': 3, 'criterion': 'gini', 'ccp_alpha': 0.0}",0.944,0.9545454545454546,0.8852459016393442,0.9421487603305785,0.9291338582677166,0.9310147949566188,0.02426768301246978,200
0.4615959167480469,0.007815405738451282,0.07006549835205078,0.0032470893009213632,200,2,5,0.03,0.5,,gini,0.01,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.03, 'max_features': 0.5, 'max_depth': None, 'criterion': 'gini', 'ccp_alpha': 0.01}",0.943089430894309,0.9473684210526315,0.9180327868852459,0.9421487603305785,0.944,0.9389278798325531,0.010594966982295242,172
0.2950263977050781,0.02481883850564161,0.052440547943115236,0.006621195874749222,100,2,5,0.01,log2,5,entropy,0.05,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.01, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'entropy', 'ccp_alpha': 0.05}",0.984375,0.9312977099236641,0.96,0.9523809523809523,0.944,0.9544107324609232,0.017752816166065388,79
1.0041220664978028,0.03061412633693871,0.15285825729370117,0.003597382243015951,500,2,10,0.05,sqrt,10,gini,0.0,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 10, 'min_impurity_decrease': 0.05, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'ccp_alpha': 0.0}",0.959349593495935,0.9302325581395349,0.9256198347107438,0.9421487603305785,0.944,0.9402701493353585,0.011805516594737542,166
1.012040948867798,0.035700453106757846,0.14853014945983886,0.0029102555223866123,500,5,5,0.03,log2,5,gini,0.0,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.03, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini', 'ccp_alpha': 0.0}",0.959349593495935,0.9457364341085271,0.943089430894309,0.9508196721311475,0.944,0.9485990261259836,0.006003450365229827,112
1.1779272079467773,0.011331747210510628,0.14244918823242186,0.0032593839174006496,500,2,5,0.01,,5,gini,0.05,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.01, 'max_features': None, 'max_depth': 5, 'criterion': 'gini', 'ccp_alpha': 0.05}",0.9516129032258065,0.9545454545454546,0.8852459016393442,0.9421487603305785,0.944,0.9355106039482368,0.025551065899349593,190
0.46245465278625486,0.013287287303002443,0.07268128395080567,0.008321950772028535,200,5,5,0.01,0.5,,gini,0.001,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.01, 'max_features': 0.5, 'max_depth': None, 'criterion': 'gini', 'ccp_alpha': 0.001}",0.9763779527559056,0.9545454545454546,0.926829268292683,0.959349593495935,0.9606299212598425,0.9555464380699641,0.01612411612883007,75
0.13814911842346192,0.007197154939910718,0.03427286148071289,0.0018348191563220743,50,5,2,0.03,log2,,gini,0.0,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.03, 'max_features': 'log2', 'max_depth': None, 'criterion': 'gini', 'ccp_alpha': 0.0}",0.959349593495935,0.9448818897637795,0.944,0.96,0.944,0.9504462966519428,0.007544720636599576,107
0.610504150390625,0.06204965092423532,0.07234525680541992,0.007368714130738166,200,2,2,0.01,,3,entropy,0.0,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.01, 'max_features': None, 'max_depth': 3, 'criterion': 'entropy', 'ccp_alpha': 0.0}",0.96875,0.9618320610687023,0.9523809523809523,0.9841269841269841,0.9457364341085271,0.9625652863370332,0.013346355603160396,27
0.14402713775634765,0.002308618250923058,0.032448434829711915,0.0008262483915966834,50,10,5,0.0,,3,gini,0.05,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.0, 'max_features': None, 'max_depth': 3, 'criterion': 'gini', 'ccp_alpha': 0.05}",0.9516129032258065,0.9465648854961832,0.8852459016393442,0.9421487603305785,0.9365079365079365,0.9324160774399697,0.024104774637430253,199
0.49286589622497556,0.021694422495604486,0.0695042610168457,0.004102803733025439,200,5,2,0.03,0.5,20,entropy,0.001,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.03, 'max_features': 0.5, 'max_depth': 20, 'criterion': 'entropy', 'ccp_alpha': 0.001}",0.96875,0.9545454545454546,0.9606299212598425,0.967741935483871,0.953125,0.9609584622578335,0.00647025976985881,39
0.235840368270874,0.00389105358903569,0.043450212478637694,0.0026295316354111105,100,10,10,0.01,sqrt,20,entropy,0.01,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 10, 'min_impurity_decrease': 0.01, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'ccp_alpha': 0.01}",0.9922480620155039,0.9538461538461539,0.96,0.959349593495935,0.944,0.9618887618715185,0.01622586359997526,37
1.0972437858581543,0.040295496605914284,0.147987699508667,0.005119441882655348,500,5,5,0.01,0.5,20,gini,0.001,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.01, 'max_features': 0.5, 'max_depth': 20, 'criterion': 'gini', 'ccp_alpha': 0.001}",0.9763779527559056,0.9545454545454546,0.944,0.959349593495935,0.9606299212598425,0.9589805844114275,0.010484399756718422,54
0.15067524909973146,0.0480318628481912,0.032685136795043944,0.0016274295074593982,50,10,2,0.05,sqrt,5,gini,0.001,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'ccp_alpha': 0.001}",0.9516129032258065,0.9448818897637795,0.928,0.944,0.944,0.9424989585979173,0.007790614848997721,146
0.23631653785705567,0.004456807180247051,0.044654560089111325,0.0030857015074521725,100,10,10,0.05,0.5,3,gini,0.001,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 10, 'min_impurity_decrease': 0.05, 'max_features': 0.5, 'max_depth': 3, 'criterion': 'gini', 'ccp_alpha': 0.001}",0.9516129032258065,0.9618320610687023,0.9193548387096774,0.9344262295081968,0.944,0.9422452065024766,0.01455735726596288,150
0.13026604652404786,0.0025058611694002662,0.03349070549011231,0.0024279002933076783,50,2,10,0.01,sqrt,,gini,0.001,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 10, 'min_impurity_decrease': 0.01, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini', 'ccp_alpha': 0.001}",0.976,0.9384615384615385,0.943089430894309,0.9516129032258065,0.944,0.9506327745163308,0.013367808338784004,103
0.24914054870605468,0.0026776811418685736,0.04303245544433594,0.005431346931205134,100,5,20,0.01,,5,gini,0.02,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.01, 'max_features': None, 'max_depth': 5, 'criterion': 'gini', 'ccp_alpha': 0.02}",0.9516129032258065,0.9473684210526315,0.8943089430894309,0.9421487603305785,0.944,0.9358878055396895,0.021037548746500392,188
0.13353581428527833,0.02190262101544993,0.04740076065063477,0.024683125134909646,50,10,5,0.03,sqrt,20,gini,0.0,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.03, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'ccp_alpha': 0.0}",0.959349593495935,0.9457364341085271,0.943089430894309,0.944,0.944,0.9472350916997542,0.006117601956172891,117
1.042916202545166,0.01046598504644373,0.15109734535217284,0.004582638661150955,500,10,2,0.01,log2,3,gini,0.02,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.01, 'max_features': 'log2', 'max_depth': 3, 'criterion': 'gini', 'ccp_alpha': 0.02}",0.967741935483871,0.9457364341085271,0.9516129032258065,0.967741935483871,0.944,0.9553666416604152,0.010414679897125157,76
1.0528174877166747,0.038636387516820025,0.15348396301269532,0.0031005774455864703,500,10,5,0.01,sqrt,10,gini,0.01,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.01, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'ccp_alpha': 0.01}",0.9763779527559056,0.9465648854961832,0.96,0.967741935483871,0.9523809523809523,0.9606131452233825,0.010628709748020177,42
0.24667301177978515,0.004008576591062815,0.04199695587158203,0.004186741313134594,100,10,20,0.03,0.5,20,entropy,0.001,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 20, 'min_impurity_decrease': 0.03, 'max_features': 0.5, 'max_depth': 20, 'criterion': 'entropy', 'ccp_alpha': 0.001}",0.9516129032258065,0.9618320610687023,0.9354838709677419,0.9421487603305785,0.944,0.9470155191185657,0.00901580236827487,120
0.14214701652526857,0.004004079321770202,0.03174457550048828,0.004312874903122625,50,5,5,0.0,0.5,5,entropy,0.05,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 5, 'min_impurity_decrease': 0.0, 'max_features': 0.5, 'max_depth': 5, 'criterion': 'entropy', 'ccp_alpha': 0.05}",0.96875,0.9618320610687023,0.9516129032258065,0.9344262295081968,0.9448818897637795,0.9523006167132969,0.012136184073779343,91
1.1068048000335693,0.057048144863358276,0.15845775604248047,0.011357532289865548,500,10,10,0.0,log2,,gini,0.02,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 10, 'min_impurity_decrease': 0.0, 'max_features': 'log2', 'max_depth': None, 'criterion': 'gini', 'ccp_alpha': 0.02}",0.967741935483871,0.9384615384615385,0.9516129032258065,0.959349593495935,0.944,0.9522331941334301,0.010478482185464738,94
0.27318730354309084,0.015117161803013519,0.0441704273223877,0.0014644115944880318,100,2,2,0.01,,10,gini,0.0,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.01, 'max_features': None, 'max_depth': 10, 'criterion': 'gini', 'ccp_alpha': 0.0}",0.96,0.9545454545454546,0.944,0.967741935483871,0.953125,0.955882478005865,0.007850927579480036,66
1.3570287704467774,0.03579531485938121,0.14985208511352538,0.006039410281734505,500,5,2,0.03,,3,entropy,0.0,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.03, 'max_features': None, 'max_depth': 3, 'criterion': 'entropy', 'ccp_alpha': 0.0}",0.96875,0.9618320610687023,0.9523809523809523,0.9841269841269841,0.9457364341085271,0.9625652863370332,0.013346355603160396,27
1.1285147190093994,0.011638845085330522,0.14632563591003417,0.0016806286495692842,500,10,10,0.03,,5,gini,0.02,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 10, 'min_impurity_decrease': 0.03, 'max_features': None, 'max_depth': 5, 'criterion': 'gini', 'ccp_alpha': 0.02}",0.943089430894309,0.9545454545454546,0.9090909090909091,0.9421487603305785,0.944,0.9385749109722502,0.015407462537901869,177
