mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1208983421325684,0.13664967426537078,0.14066405296325685,0.026476252370199328,0.009101039588533137,entropy,29,0.1,0.004020887689613608,5,4,274,"OrderedDict({'ccp_alpha': 0.009101039588533137, 'criterion': 'entropy', 'max_depth': 29, 'max_features': 0.1, 'min_impurity_decrease': 0.004020887689613608, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 274})",1.0,0.9538461538461539,0.9682539682539683,0.967741935483871,0.9523809523809523,0.9684446019929892,0.017131425813285257,16
1.2927566528320313,0.3667067453540221,0.144959020614624,0.05435662461221721,0.013373883555532842,entropy,20,0.4,0.005184767492789705,3,4,235,"OrderedDict({'ccp_alpha': 0.013373883555532842, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.4, 'min_impurity_decrease': 0.005184767492789705, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 235})",0.9846153846153847,0.9770992366412213,0.9682539682539683,0.967741935483871,0.9457364341085271,0.9686893918205944,0.01305594325455695,13
1.263866090774536,0.276908098552404,0.1579836368560791,0.038012654349238444,0.009448325123011518,entropy,17,0.2,0.0011277311182040916,5,4,275,"OrderedDict({'ccp_alpha': 0.009448325123011518, 'criterion': 'entropy', 'max_depth': 17, 'max_features': 0.2, 'min_impurity_decrease': 0.0011277311182040916, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 275})",0.9846153846153847,0.9465648854961832,0.9682539682539683,0.967741935483871,0.9606299212598425,0.9655612190218499,0.012330823445468635,27
1.585212802886963,0.4412094422747134,0.16148591041564941,0.043884653479362844,0.013123959883573632,entropy,24,0.4,0.0031383139683263017,3,6,287,"OrderedDict({'ccp_alpha': 0.013123959883573632, 'criterion': 'entropy', 'max_depth': 24, 'max_features': 0.4, 'min_impurity_decrease': 0.0031383139683263017, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 287})",0.9846153846153847,0.9770992366412213,0.9606299212598425,0.967741935483871,0.953125,0.9686422956000639,0.011246818911242469,15
1.380370569229126,0.382306933836099,0.1558985710144043,0.034850196162311074,0.012995534416071729,entropy,23,0.3,0.00542311243504012,6,5,265,"OrderedDict({'ccp_alpha': 0.012995534416071729, 'criterion': 'entropy', 'max_depth': 23, 'max_features': 0.3, 'min_impurity_decrease': 0.00542311243504012, 'min_samples_leaf': 6, 'min_samples_split': 5, 'n_estimators': 265})",0.9767441860465116,0.9612403100775194,0.9682539682539683,0.967741935483871,0.9606299212598425,0.9669220642243426,0.005844546647713793,25
1.1737992763519287,0.30075299232050473,0.1795361042022705,0.0593741551916271,0.012340280179855683,entropy,17,sqrt,0.00480301938874047,4,5,253,"OrderedDict({'ccp_alpha': 0.012340280179855683, 'criterion': 'entropy', 'max_depth': 17, 'max_features': 'sqrt', 'min_impurity_decrease': 0.00480301938874047, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 253})",0.9846153846153847,0.9465648854961832,0.9682539682539683,0.967741935483871,0.9606299212598425,0.9655612190218499,0.012330823445468635,27
1.3339449405670165,0.3817556094736891,0.1684908390045166,0.05169151812183244,0.011170793585023164,entropy,20,0.4,0.0035557180518334067,5,6,242,"OrderedDict({'ccp_alpha': 0.011170793585023164, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.4, 'min_impurity_decrease': 0.0035557180518334067, 'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 242})",0.9846153846153847,0.9618320610687023,0.9682539682539683,0.967741935483871,0.953125,0.9671136698843853,0.010310996977757867,21
1.0827311038970948,0.28976439774313395,0.1266197681427002,0.04760951601196358,0.010434030676903124,entropy,22,0.4,0.001944359893706242,3,5,203,"OrderedDict({'ccp_alpha': 0.010434030676903124, 'criterion': 'entropy', 'max_depth': 22, 'max_features': 0.4, 'min_impurity_decrease': 0.001944359893706242, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 203})",0.9846153846153847,0.9770992366412213,0.9682539682539683,0.9841269841269841,0.953125,0.9734441147275117,0.011765074835670016,1
1.201667022705078,0.3210895506356447,0.14095516204833985,0.038782080996183084,0.014554779863099283,entropy,28,0.2,0.0022863885887849573,4,3,237,"OrderedDict({'ccp_alpha': 0.014554779863099283, 'criterion': 'entropy', 'max_depth': 28, 'max_features': 0.2, 'min_impurity_decrease': 0.0022863885887849573, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 237})",0.9922480620155039,0.9545454545454546,0.9682539682539683,0.967741935483871,0.9606299212598425,0.968683868311728,0.012814867017350212,14
0.8712386131286621,0.19982258765798763,0.12595200538635254,0.026512906321336526,0.005036303072547432,entropy,26,0.1,0.0034719860173703094,4,4,215,"OrderedDict({'ccp_alpha': 0.005036303072547432, 'criterion': 'entropy', 'max_depth': 26, 'max_features': 0.1, 'min_impurity_decrease': 0.0034719860173703094, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 215})",1.0,0.9538461538461539,0.9682539682539683,0.967741935483871,0.9523809523809523,0.9684446019929892,0.017131425813285257,16
